"","seqnames","start","end","width","strand","Length","ensemblID","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B","associated_phenotypes","gene_description"
"ENSRNOG00000042309","1",28615606,28630309,14704,"-",4152,"ENSRNOG00000042309","Kiaa0408L","292199",28.4462572903246,-0.32175777534787,6.87317935579766,-6.17405464442431,1.65271623871771e-05,0.0270123308808186,3.14721054343397,"","Kiaa0408-like [Source:RGD Symbol;Acc:1307525]"
"ENSRNOG00000021164","1",204178932,204228476,49545,"-",2154,"ENSRNOG00000021164","Stip1","192277",69.8398188097454,-0.411764779108163,6.93093623810491,-4.93416963591456,0.000171500863565155,0.0429913335849504,0.813343402181945,"melanoma; Colorectal Neoplasms; familial temporal lobe epilepsy 8; high grade glioma; Intellectual Disability","stress-induced phosphoprotein 1 [Source:RGD Symbol;Acc:621599]"
"ENSRNOG00000068207","2",60865483,60868273,2791,"-",2791,"ENSRNOG00000068207",NA,"NULL",1.18955712844584,2.11901674262041,0.0647072172088936,5.1989481449446,0.000102337349937095,0.0388068482481442,0.266345585152842,"",NA
"ENSRNOG00000016878","2",205458176,205717599,259424,"+",3242,"ENSRNOG00000016878","Plppr5","310812",11.9958732656249,0.520829240421952,4.62885732327516,4.76811952230849,0.000238076314570077,0.0473545126647243,0.654451219443969,"","phospholipid phosphatase related 5 [Source:RGD Symbol;Acc:1309567]"
"ENSRNOG00000057557","2",59134588,59324718,190131,"+",3224,"ENSRNOG00000057557","Prlr","24684",5.06999078966,1.69448182136546,2.87930936956037,5.02717691963827,0.00014291667233176,0.0426402100235543,1.18468645464602,"Familial Medullary Thyroid Carcinoma; Spontaneous Abortions; Animal Mammary Neoplasms; Neurodevelopmental Disorders; primary ovarian insufficiency; Hyperprolactinemia; Autistic Disorder; Experimental Liver Cirrhosis; Carcinoma; Experimental Mammary Neoplasms; Multiple Fibroadenomas of the Breast; Alpha-Methylacyl-CoA Racemase Deficiency; Endometriosis","prolactin receptor [Source:RGD Symbol;Acc:3407]"
"ENSRNOG00000012481","2",192278517,192283882,5366,"+",1945,"ENSRNOG00000012481","Ppm1j","295341",1.7400422603296,-1.61615504485522,2.25490097332467,-5.23389176212559,9.56578850732664e-05,0.0381988711659011,1.28906540887376,"Amenorrhea","protein phosphatase, Mg2+/Mn2+ dependent, 1J [Source:RGD Symbol;Acc:1359104]"
"ENSRNOG00000012892","2",210164813,210302069,137257,"+",7148,"ENSRNOG00000012892","Abca4","310836",2.03788756409307,2.16160868804009,2.76213781702422,4.87413294012414,0.000193024777252379,0.0454233518075035,0.913370713534937,"age related macular degeneration; cone-rod dystrophy; exudative vitreoretinopathy; Colorectal Neoplasms; scotoma; Leber Congenital Amaurosis; Bietti crystalline corneoretinal dystrophy; Cleft Lip; Retinal Dystrophy, Early Onset Severe; Retinitis Pigmentosa 19; genetic disease; Retinal Degeneration; retinitis pigmentosa; Cone-Rod Dystrophy 3; Stargardt disease; Vision Disorders; Mandibulofacial Dysostosis with Mental Deficiency; Joubert Syndrome 5; Stargardt Disease 3; Macular Degeneration; age related macular degeneration 14; Stargardt Disease 1; Blindness; fundus dystrophy; cone dystrophy; congenital stationary night blindness; age related macular degeneration 2; Neuropathy; peripheral nervous system disease; Concentric Annular Macular Dystrophy; Eye Abnormalities","ATP binding cassette subfamily A member 4 [Source:RGD Symbol;Acc:1309445]"
"ENSRNOG00000018835","2",185610589,185744088,133500,"+",11896,"ENSRNOG00000018835","Notch2","29492",11.5206689785271,0.729507772807902,6.97535538323119,5.54621942006953,5.26903563492968e-05,0.0381988711659011,1.98960693448275,"hereditary breast ovarian cancer syndrome; Hirschsprung's disease; esophagus squamous cell carcinoma; Primitive Neuroectodermal Tumors; primary ovarian insufficiency; glioblastoma; Monoclonal B-Cell Lymphocytosis; Uterine Cervical Neoplasms; Lung Neoplasms; Pre-Eclampsia; Alagille Syndrome; squamous cell carcinoma; Hajdu-Cheney Syndrome; Carotid Artery Injuries; Neoplasm Invasiveness; Stomach Neoplasms; Acroosteolysis Dominant Type; Breast Neoplasms; type 2 diabetes mellitus; Prenatal Exposure Delayed Effects; Multiple Myeloma; IgA glomerulonephritis; Skin Neoplasms; genetic disease; malignant astrocytoma; keratoacanthoma; Cakut; Fibrosis; kidney failure; Gastro-Enteropancreatic Neuroendocrine Tumor; VACTERL association","notch receptor 2 [Source:RGD Symbol;Acc:3188]"
"ENSRNOG00000039582","2",44940080,45008284,68205,"+",9261,"ENSRNOG00000039582","Cspg4b","294747",1.43076630667719,1.0162282198106,3.65333193322236,6.44747860687069,1.01444602497159e-05,0.0270123308808186,3.66809808223927,"","chondroitin sulfate proteoglycan 4B [Source:RGD Symbol;Acc:1561161]"
"ENSRNOG00000009771","2",68628780,68850995,222216,"+",3169,"ENSRNOG00000009771","Cdh10","29181",17.4641869611814,-0.46337731923061,5.58187763107379,-6.81527588656999,5.34729150781732e-06,0.0270123308808186,4.31091827925926,"Autistic Disorder; Neurodevelopmental Disorders; Autism Spectrum Disorder","cadherin 10 [Source:RGD Symbol;Acc:619741]"
"ENSRNOG00000020673","2",174856397,174868919,12523,"+",3429,"ENSRNOG00000020673","Pbxip1","310644",17.0925073284992,0.745544871238032,5.37657262722388,5.37082219080596,7.35361045334101e-05,0.0381988711659011,1.73825486987053,"severe congenital neutropenia 5; dyschromatosis symmetrica hereditaria; gastrointestinal stromal tumor; parathyroid carcinoma; IMMUNODEFICIENCY 42; Charcot-Marie-Tooth disease type 2; MHC class II deficiency","PBX homeobox interacting protein 1 [Source:RGD Symbol;Acc:1305180]"
"ENSRNOG00000000017","4",28276909,28287479,10571,"+",1258,"ENSRNOG00000000017","Steap1","297738",1.51545283381551,2.26887715978931,-0.741719322302347,4.79073230191687,0.00022763448126464,0.0473528949348661,-0.755012784883061,"Pleomorphic Xanthoastrocytoma","STEAP family member 1 [Source:RGD Symbol;Acc:1311543]"
"ENSRNOG00000014347","4",10736425,10752965,16541,"-",4384,"ENSRNOG00000014347","Slc4a2","24780",16.7513848282191,0.908779070219474,5.99008397558001,4.74575758063377,0.000248887025015786,0.0477977518846409,0.487387688167715,"renal tubular acidosis; Alkalosis; Prostatic Neoplasms; Choledochal Cyst; autosomal recessive polycystic kidney disease; lethal congenital glycogen storage disease of heart; prediabetes syndrome; Long QT Syndrome; primary biliary cholangitis; Distal Renal Tubular Acidosis","solute carrier family 4 member 2 [Source:RGD Symbol;Acc:3711]"
"ENSRNOG00000039388","4",57766263,57777020,10758,"-",3205,"ENSRNOG00000039388","Prrt4","500059",1.94647541132763,0.868810762380582,2.72720066441145,5.39691885836063,6.99601344606287e-05,0.0381988711659011,1.80259658461584,"Pleomorphic Xanthoastrocytoma","proline-rich transmembrane protein 4 [Source:RGD Symbol;Acc:1559885]"
"ENSRNOG00000007955","4",148304490,148312558,8069,"-",3231,"ENSRNOG00000007955","Timp4","680130",5.50324151809128,-0.596485624629114,4.01116468707217,-5.35082297577172,7.64043275573285e-05,0.0381988711659011,1.79941940818591,"Experimental Arthritis; abdominal aortic aneurysm; Wounds and Injuries; Arteriovenous Fistula; Lymphatic Metastasis; cervical cancer; ovarian carcinoma; endometrial cancer; congestive heart failure; prostate carcinoma in situ; Prostatic Neoplasms; endometrial carcinoma; nephroblastoma; Myocardial Reperfusion Injury; Cardiomegaly; renal hypertension; ductal carcinoma in situ; renal cell carcinoma; Breast Neoplasms","TIMP metallopeptidase inhibitor 4 [Source:RGD Symbol;Acc:69077]"
"ENSRNOG00000007281","4",58034189,58061844,27656,"+",9656,"ENSRNOG00000007281","Flnc","362332",2.77038862035092,0.681048305166581,4.80742741096964,5.29049865033347,8.57781050158806e-05,0.0381988711659011,1.63362990363216,"cardiomyopathy; Spastic Ataxia; Heart Block; restrictive cardiomyopathy; distal muscular dystrophy 4; Colorectal Neoplasms; sudden infant death syndrome; myofibrillar myopathy 5; hypertrophic cardiomyopathy 1; hypertrophic cardiomyopathy; Wolff-Parkinson-White Syndrome; Pleomorphic Xanthoastrocytoma; familial hypertrophic cardiomyopathy; autosomal dominant limb-girdle muscular dystrophy type 2; Myofibrillar Myopathy; dilated cardiomyopathy 1B; hypertrophic cardiomyopathy 26; genetic disease; Muscle Weakness; dilated cardiomyopathy","filamin C [Source:RGD Symbol;Acc:1308807]"
"ENSRNOG00000023340","4",149948257,149973550,25294,"-",3368,"ENSRNOG00000023340","Tmem72","362424",12.3321320243094,1.77014757718028,4.49094751499015,4.8797115542496,0.000190912479885193,0.0454233518075035,0.886806009665063,"","transmembrane protein 72 [Source:RGD Symbol;Acc:1308850]"
"ENSRNOG00000061845","4",46800981,46964631,163651,"-",5975,"ENSRNOG00000061845","Cttnbp2","282587",42.880924441719,-0.702589100145059,8.22949400785609,-6.32611534155899,1.25823873659687e-05,0.0270123308808186,3.40658868189361,"Myocardial Ischemia; Pleomorphic Xanthoastrocytoma; prostate cancer; Autism Spectrum Disorder","cortactin binding protein 2 [Source:RGD Symbol;Acc:628691]"
"ENSRNOG00000008678","4",119590771,119778232,187462,"-",3338,"ENSRNOG00000008678","Antxr1","362393",5.28492969548723,0.965602573700197,4.34145064157058,4.89552902799249,0.000185051757431719,0.0454233518075035,0.926857913817837,"Experimental Mammary Neoplasms; gallbladder carcinoma; colorectal carcinoma; Neoplasm Metastasis; triple-receptor negative breast cancer; GAPO syndrome; hepatocellular carcinoma; colorectal cancer; breast cancer; Experimental Melanoma; Infantile Capillary Hemangioma","ANTXR cell adhesion molecule 1 [Source:RGD Symbol;Acc:1307144]"
"ENSRNOG00000008190","3",7782572,7861497,78926,"+",4902,"ENSRNOG00000008190","Pnpla7","246246",7.24358191720876,-0.430046685534834,5.23667553941416,-5.34765133078709,7.68697255948286e-05,0.0381988711659011,1.70887710318111,"primary ovarian insufficiency; Autosomal Recessive Peripheral Neuropathy with or without Impaired Intellectual Development; Epilepsy; Mulibrey Nanism; autosomal dominant intellectual developmental disorder 8; developmental and epileptic encephalopathy 14; Kleefstra Syndrome 1; autosomal dominant nocturnal frontal lobe epilepsy 5","patatin-like phospholipase domain containing 7 [Source:RGD Symbol;Acc:708466]"
"ENSRNOG00000038004","3",67034170,67263607,229438,"+",3975,"ENSRNOG00000038004","Zfp804a","295695",9.85923398366757,-1.61573018228196,5.25132455622697,-5.03882124277973,0.00013970140333015,0.0426402100235543,1.16540965456878,"substance-related disorder; renal cell carcinoma; Schizophrenia","zinc finger protein 804A [Source:RGD Symbol;Acc:1305239]"
"ENSRNOG00000053122","3",50952791,51071699,118909,"-",8401,"ENSRNOG00000053122","Scn1a","81574",32.9633480154519,-0.485751853865484,8.40581279495333,-4.94267192076203,0.00016865893544769,0.0429913335849504,0.811411336450691,"visual epilepsy; early infantile epileptic encephalopathy; Familial Febrile Seizures 1; movement disease; Autosomal Dominant Nocturnal Frontal Lobe Epilepsy; Autism Spectrum Disorder; Lennox-Gastaut syndrome; early myoclonic encephalopathy; Plagiocephaly; benign familial infantile seizures, 3; genetic disease; Generalized Epilepsy; Familial Febrile Seizures 3A; Nervous System Malformations; hereditary sensory and autonomic neuropathy type 2A; Hip Contracture; familial hemiplegic migraine 3; Epilepsy; benign familial neonatal epilepsy; generalized epilepsy with febrile seizures plus; Familial Sudden Death; developmental and epileptic encephalopathy 11; Developmental and Epileptic Encephalopathy 6B; Neurodevelopmental Disorders; developmental and epileptic encephalopathy; childhood onset epileptic encephalopathy; focal epilepsy; microcephaly; epilepsy with generalized tonic-clonic seizures; GNE myopathy; Nephronophthisis; absence epilepsy; Dravet syndrome; asphyxiating thoracic dystrophy; hereditary sensory neuropathy; Developmental Disabilities; generalized epilepsy with febrile seizures plus 2; increased susceptibility to induction of seizure by inducing agent; nephronophthisis 1; Autistic Disorder; generalized epilepsy with febrile seizures plus 7; sudden infant death syndrome; Hypertelorism; developmental and epileptic encephalopathy 1; West syndrome; asphyxiating thoracic dystrophy 1; familial hemiplegic migraine; hereditary spastic paraplegia 11; Febrile Seizures; Muscle Hypotonia; generalized epilepsy with febrile seizures plus 1; Vision Disorders; benign epilepsy with centrotemporal spikes; Myoclonic Epilepsies; Intellectual Disability","sodium voltage-gated channel alpha subunit 1 [Source:RGD Symbol;Acc:69364]"
"ENSRNOG00000018294","3",18055405,18059891,4487,"+",2587,"ENSRNOG00000018294","Hspa5","25617",137.37136300977,-0.643123000680831,7.96873863918129,-6.17776835621307,1.64168315171001e-05,0.0270123308808186,3.14301988155146,"high grade glioma; Chemical and Drug Induced Liver Injury; fatty liver disease; Pulmonary Fibrosis; visual epilepsy; Temporomandibular Joint Osteoarthritis; esophagus squamous cell carcinoma; Acute Lung Injury; spinocerebellar ataxia type 17; rheumatoid arthritis; Hematologic Neoplasms; transient cerebral ischemia; Acute Experimental Pancreatitis; Spinal Cord Injuries; Myocardial Reperfusion Injury; experimental autoimmune myocarditis; Breast Neoplasms; Diabetic Nephropathies; inflammatory bowel disease; Spinal Cord Reperfusion Injury; Myocardial Infarction; chronic myeloid leukemia; Zika fever; respiratory allergy; Dopamine Beta Hydroxylase Deficiency; Contrast-Induced Nephropathy; post-traumatic stress disorder; myeloid neoplasm; Asbestosis; Nerve Degeneration; neuronal ceroid lipofuscinosis; hepatocellular carcinoma; Ureteral Obstruction; Female Infertility; Reperfusion Injury; obesity; Peripheral Nerve Injuries","heat shock protein family A (Hsp70) member 5 [Source:RGD Symbol;Acc:2843]"
"ENSRNOG00000005369","3",39945351,40109124,163774,"+",3620,"ENSRNOG00000005369","Kcnj3","50599",22.1296928824918,-0.612386716376636,6.15947275620173,-5.91426798131941,2.65295109953031e-05,0.029550337980635,2.70578684733051,"Autism Spectrum Disorder","potassium inwardly-rectifying channel, subfamily J, member 3 [Source:RGD Symbol;Acc:2958]"
"ENSRNOG00000009531","3",167711840,167734465,22626,"+",2586,"ENSRNOG00000009531","Col9a3","362285",12.6900394953644,0.616257750887125,5.16754347240557,4.82996378083452,0.000210621863048783,0.0458929149927003,0.700034857665274,"benign familial infantile seizures 6; neuronal ceroid lipofuscinosis; multiple epiphyseal dysplasia; developmental and epileptic encephalopathy; connective tissue disease; Autoinflammation, Immunde Dysregulation, and Eosinophilia; Hearing Loss; Epilepsy; Stickler syndrome; Intervertebral Disc Disease; osteochondrodysplasia; Autosomal Dominant Nocturnal Frontal Lobe Epilepsy; sensorineural hearing loss; Retinal Detachment; Stickler Syndrome, Type VI; early infantile epileptic encephalopathy; genetic disease; developmental and epileptic encephalopathy 33; multiple epiphyseal dysplasia 3","collagen type IX alpha 3 chain [Source:RGD Symbol;Acc:1310255]"
"ENSRNOG00000017086","3",143119093,143156249,37157,"+",3585,"ENSRNOG00000017086","AABR07054367.1",NA,6.51469795222173,-0.405694850104925,4.84162330897773,-5.70508129472495,3.9096047537534e-05,0.0343798295924799,2.39373949146089,"hyper IgE recurrent infection syndrome 3; Long QT Syndrome","zinc finger protein 341 [Source:RGD Symbol;Acc:1564726]"
"ENSRNOG00000009037","5",6362911,6525584,162674,"-",5321,"ENSRNOG00000009037","Sulf1","171396",6.79416130502831,1.71870286175275,3.51658735188351,5.38740692368268,7.12422085479042e-05,0.0381988711659011,1.85998475862816,"pre-malignant neoplasm; Ovarian Neoplasms","sulfatase 1 [Source:RGD Symbol;Acc:708554]"
"ENSRNOG00000007029","5",55842426,55853967,11542,"+",2998,"ENSRNOG00000007029","Dnaja1","65028",66.8787029059918,-0.340414638474383,7.3036095243861,-4.77525966280192,0.000234727075549007,0.0473528949348661,0.492394862820584,"mouth disease","DnaJ heat shock protein family (Hsp40) member A1 [Source:RGD Symbol;Acc:620942]"
"ENSRNOG00000036869","5",166391080,166393904,2825,"-",1931,"ENSRNOG00000036869","Tmem88b","680723",16.9292341191166,0.369108869996791,5.43146612174654,4.7524724753909,0.000245588767630844,0.0477127573206528,0.552653772821328,"Dilated Cardiomyopathy 1LL; Neurodevelopmental Disorders; Immunodeficiency 16; Ehlers-Danlos syndrome spondylodysplastic type 2; immunodeficiency 38; chromosome 1p36 deletion syndrome; Peroxisome Biogenesis Disorder, Complementation Group 7; Shprintzen-Goldberg Craniosynostosis; idiopathic generalized epilepsy; congenital myasthenic syndrome 8; Joubert Syndrome 25; Goldberg-Shprintzen syndrome","transmembrane protein 88B [Source:RGD Symbol;Acc:1588243]"
"ENSRNOG00000007894","5",95766118,95920499,154382,"-",7676,"ENSRNOG00000007894","Mpdz","29365",26.1225598856785,-0.377048417414243,7.5507748809449,-5.31641773477738,8.16126534035441e-05,0.0381988711659011,1.54276955933264,"Congenital Hydrocephalus 2, with or without Brain or Eye Anomalies; visual epilepsy; Hydrocephalus","multiple PDZ domain crumbs cell polarity complex component [Source:RGD Symbol;Acc:3105]"
"ENSRNOG00000009113","5",141850110,141853817,3708,"+",1944,"ENSRNOG00000009113","Marcksl1","81520",11.8011028947084,0.462146126079686,4.47357256494382,5.25546698903743,9.17603630768981e-05,0.0381988711659011,1.59765986124383,"visual epilepsy","MARCKS-like 1 [Source:RGD Symbol;Acc:621197]"
"ENSRNOG00000048506","5",136996686,137061315,64630,"+",4476,"ENSRNOG00000048506","Inpp5b","362590",18.7115774245211,-0.381392010082804,6.47500140149093,-5.44938364399398,6.3305524393127e-05,0.0381988711659011,1.81772168268422,"Dent Disease 2; Charcot-Marie-Tooth disease dominant intermediate C","inositol polyphosphate-5-phosphatase B [Source:RGD Symbol;Acc:1311511]"
"ENSRNOG00000003984","X",127203823,127213391,9569,"-",3159,"ENSRNOG00000003984",NA,"NULL",8.3000640142155,-0.652882767379185,4.25311690490036,-5.18804230322857,0.000104519282449515,0.0388068482481442,1.50011050373603,"",NA
"ENSRNOG00000002832","X",68723261,68848771,125511,"-",3982,"ENSRNOG00000002832","Slc16a2","259248",7.36731011963772,1.29577067959896,4.48149777011286,4.86651081267621,0.000195949792560481,0.0454712379736183,0.859478260382123,"Autistic Disorder; Allan-Herndon-Dudley syndrome; genetic disease; Hypothyroidism; prostate cancer; Cholestasis; hereditary spastic paraplegia; Autism Spectrum Disorder; Intellectual Disability; syndromic X-linked intellectual disability Lubs type; paraplegia","solute carrier family 16 (monocarboxylic acid transporters), member 2 [Source:MGI Symbol;Acc:MGI:1203732]"
"ENSRNOG00000025730","X",97936999,97942098,5100,"+",4105,"ENSRNOG00000025730","Armcx3","367902",33.452404894239,-0.275245136816407,6.61961541511755,-5.81501308898668,3.18648842910828e-05,0.0323232823079241,2.49972549022332,"syndromic X-linked intellectual disability Lubs type; Autistic Disorder","armadillo repeat containing, X-linked 3 [Source:MGI Symbol;Acc:MGI:1918953]"
"ENSRNOG00000062383","6",109665523,109679809,14287,"-",6300,"ENSRNOG00000062383","Dio2","65162",6.34017668259046,-0.993652653461161,4.60773427624326,-7.69678612238423,1.24122842800516e-06,0.0207384445751101,5.68900261013393,"hypertension; Metabolic Syndrome; Endometriosis; Autism Spectrum Disorder; thyroid gland disease; Insulin Resistance; type 2 diabetes mellitus; Mesothelioma; obesity","iodothyronine deiodinase 2 [Source:RGD Symbol;Acc:68418]"
"ENSRNOG00000059714","6",129702383,129707268,4886,"-",2657,"ENSRNOG00000059714","Hsp90aa1","299331",352.058394275967,-0.360757091051408,9.3672478518263,-6.49548005420524,9.32131857463647e-06,0.0270123308808186,3.70468711180414,"portal hypertension; rheumatoid arthritis; Neoplasm Metastasis; Ductal Carcinoma; Alzheimer's Disease; Frontotemporal Lobar Degeneration; human immunodeficiency virus infectious disease; Neurodevelopmental Disorders; Knee Osteoarthritis; Breast Neoplasms; colon cancer; Cognitive Dysfunction; Herpes Simplex Encephalitis 3; Experimental Diabetes Mellitus; intrahepatic cholangiocarcinoma; Charcot-Marie-Tooth disease axonal type 2O; contact dermatitis; anaplastic large cell lymphoma","heat shock protein 90 alpha family class A member 1 [Source:RGD Symbol;Acc:631409]"
"ENSRNOG00000012090","7",110818274,110822069,3796,"-",1829,"ENSRNOG00000012090","Slc16a8","65200",1.32353346481598,2.82588113903805,-0.254613718731634,5.08779765551735,0.000126973766439966,0.0426402100235543,-0.0862097048924797,"Macular Degeneration","solute carrier family 16 member 8 [Source:RGD Symbol;Acc:69282]"
"ENSRNOG00000060407","7",111836012,111944688,108677,"+",6976,"ENSRNOG00000060407","Cacna1i","56827",21.8086893309055,-0.442278699232894,7.50381492809356,-6.9818845570695,4.02529484881043e-06,0.0270123308808186,4.54847257630552,"Sciatic Neuropathy; withdrawal disorder; ventriculomegaly; Hyperalgesia; Developmental Disabilities; adenylosuccinase lyase deficiency; Hydrocephalus; Schizophrenia","calcium voltage-gated channel subunit alpha1 I [Source:RGD Symbol;Acc:68944]"
